"Overnight accommodation; guests, country of residence, type, region "
"Periods: 2018 February*"
"";"";"";"";"Regions"
"Country of residence";"Topic";"Type of accommodation";"";"Nederland";"Groningen (PV)";"Friesland (PV)";"Drenthe (PV)";"Overijssel (PV)";"Flevoland (PV)";"Gelderland (PV)";"Utrecht (PV)";"Noord-Holland (PV)";"Zuid-Holland (PV)";"Zeeland (PV)";"Noord-Brabant (PV)";"Limburg (PV)"
"All countries";"Guests";"Total overnight accommodation";"x 1 000";"2516";"43";"59";"108";"109";"36";"214";"92";"939";"336";"103";"237";"239"
"All countries";"Guests";"Hotel/boarding house/youth hostel";"x 1 000";"1964";"39";"37";"31";"84";"16";"138";"83";"885";"301";"55";"161";"134"
"All countries";"Guests";"Total Leisure accommodation";"x 1 000";"552";"4";"21";"77";"25";"21";"77";"8";"54";"35";"48";"76";"105"
"All countries";"Guests";"Campsite";"x 1 000";"16";"0";"1";"1";"1";"0";"3";"0";"4";"1";"2";"2";"1"
"All countries";"Guests";"Holiday park";"x 1 000";"485";"3";"17";"72";"19";"20";"64";"6";"46";"32";"44";"63";"99"
"All countries";"Guests";"Group accommodation";"x 1 000";"50";"1";"4";"5";"5";"0";"10";"2";"3";"1";"2";"11";"5"
"All countries";"Overnight stays";"Total overnight accommodation";"x 1 000";"5351";"75";"143";"341";"218";"100";"494";"155";"1817";"631";"273";"511";"591"
"All countries";"Overnight stays";"Hotel/boarding house/youth hostel";"x 1 000";"3275";"59";"65";"53";"125";"25";"193";"123";"1603";"476";"94";"249";"210"
"All countries";"Overnight stays";"Total Leisure accommodation";"x 1 000";"2076";"16";"78";"288";"93";"76";"301";"33";"214";"155";"179";"262";"381"
"All countries";"Overnight stays";"Campsite";"x 1 000";"54";"0";"3";"2";"3";"0";"8";"0";"16";"4";"7";"5";"4"
"All countries";"Overnight stays";"Holiday park";"x 1 000";"1906";"12";"68";"274";"76";"74";"269";"27";"193";"148";"166";"232";"365"
"All countries";"Overnight stays";"Group accommodation";"x 1 000";"116";"2";"7";"11";"14";"0";"24";"4";"6";"3";"6";"25";"12"
"The Netherlands";"Guests";"Total overnight accommodation";"x 1 000";"1429";"34";"50";"94";"87";"27";"186";"64";"298";"211";"56";"164";"160"
"The Netherlands";"Guests";"Hotel/boarding house/youth hostel";"x 1 000";"1010";"30";"31";"28";"64";"11";"115";"56";"258";"190";"32";"107";"88"
"The Netherlands";"Guests";"Total Leisure accommodation";"x 1 000";"419";"4";"18";"66";"23";"15";"71";"8";"40";"22";"25";"57";"72"
"The Netherlands";"Guests";"Campsite";"x 1 000";"8";"0";"0";"0";"0";"0";"1";"0";"2";"1";"1";"1";"0"
"The Netherlands";"Guests";"Holiday park";"x 1 000";"366";"3";"14";"61";"18";"15";"59";"5";"35";"20";"22";"47";"67"
"The Netherlands";"Guests";"Group accommodation";"x 1 000";"46";"1";"4";"5";"5";"0";"10";"2";"2";"1";"2";"9";"5"
"The Netherlands";"Overnight stays";"Total overnight accommodation";"x 1 000";"3108";"56";"117";"294";"180";"73";"437";"108";"569";"380";"141";"357";"396"
"The Netherlands";"Overnight stays";"Hotel/boarding house/youth hostel";"x 1 000";"1527";"43";"53";"48";"95";"17";"159";"80";"411";"280";"51";"158";"133"
"The Netherlands";"Overnight stays";"Total Leisure accommodation";"x 1 000";"1580";"13";"63";"246";"85";"56";"278";"29";"158";"101";"90";"199";"263"
"The Netherlands";"Overnight stays";"Campsite";"x 1 000";"27";"0";"0";"0";"0";"0";"4";"0";"9";"1";"2";"3";"0"
"The Netherlands";"Overnight stays";"Holiday park";"x 1 000";"1448";"10";"55";"234";"70";"55";"251";"24";"145";"96";"83";"175";"251"
