date,dji
26MAY1896,40.94
27MAY1896,40.58
28MAY1896,40.2
29MAY1896,40.63
01JUN1896,40.6
02JUN1896,40.04
03JUN1896,39.77
04JUN1896,39.94
05JUN1896,40.32
08JUN1896,39.81
09JUN1896,39.34
10JUN1896,38.41
11JUN1896,39.4
12JUN1896,39.31
15JUN1896,39.93
16JUN1896,40.45
17JUN1896,40.54
18JUN1896,39.76
19JUN1896,40.03
22JUN1896,38.73
23JUN1896,38.14
24JUN1896,38.27
25JUN1896,37.97
26JUN1896,37.89
29JUN1896,35.53
30JUN1896,36.15
01JUL1896,34.59
02JUL1896,34.91
03JUL1896,34.74
06JUL1896,34.87
07JUL1896,35.15
08JUL1896,35.19
09JUL1896,34.68
10JUL1896,34.84
13JUL1896,34.69
14JUL1896,33.43
15JUL1896,32.28
16JUL1896,31.95
17JUL1896,31.94
20JUL1896,30.5
21JUL1896,30.68
22JUL1896,31.99
23JUL1896,32.29
24JUL1896,31.54
27JUL1896,31.46
28JUL1896,30.82
29JUL1896,30.97
30JUL1896,31.48
31JUL1896,32.02
03AUG1896,31.49
04AUG1896,30.99
05AUG1896,30.93
06AUG1896,29.99
07AUG1896,28.66
10AUG1896,28.96
11AUG1896,30.3
12AUG1896,29.37
13AUG1896,30.37
14AUG1896,30.73
17AUG1896,31.06
18AUG1896,30.99
19AUG1896,31.31
20AUG1896,30.72
21AUG1896,30.55
24AUG1896,30.67
25AUG1896,30.61
26AUG1896,30.29
27AUG1896,30.31
28AUG1896,30.88
31AUG1896,31.97
01SEP1896,32.02
02SEP1896,33.49
03SEP1896,33.8
04SEP1896,34.7
08SEP1896,35.5
09SEP1896,35.39
10SEP1896,34.58
11SEP1896,35.3
14SEP1896,34.86
15SEP1896,34.13
16SEP1896,33.32
17SEP1896,34.33
18SEP1896,34.81
21SEP1896,35.53
22SEP1896,35.59
23SEP1896,35.78
24SEP1896,36.23
25SEP1896,36.61
28SEP1896,36.35
29SEP1896,36.33
30SEP1896,36.05
01OCT1896,36.01
02OCT1896,35.88
05OCT1896,35.92
06OCT1896,35.91
07OCT1896,35.3
08OCT1896,35.42
09OCT1896,34.96
12OCT1896,34.74
13OCT1896,36.18
14OCT1896,36.15
15OCT1896,36.2
16OCT1896,36.26
19OCT1896,36.5
20OCT1896,37.42
21OCT1896,37.32
22OCT1896,37.86
23OCT1896,38.49
26OCT1896,38.71
27OCT1896,38.88
28OCT1896,38.39
29OCT1896,37.75
30OCT1896,39.4
02NOV1896,40.93
04NOV1896,42.79
05NOV1896,41.86
06NOV1896,43.33
09NOV1896,44.44
10NOV1896,44.56
11NOV1896,44.33
12NOV1896,44.9
13NOV1896,44.5
16NOV1896,43.59
17NOV1896,43.59
18NOV1896,43.63
19NOV1896,43.44
20NOV1896,43.24
23NOV1896,42.95
24NOV1896,42.71
25NOV1896,42.47
27NOV1896,41.9
30NOV1896,41
01DEC1896,41.98
02DEC1896,41.95
03DEC1896,42.22
04DEC1896,42.07
07DEC1896,41.58
08DEC1896,41.6
09DEC1896,41.78
10DEC1896,41.48
11DEC1896,41.42
14DEC1896,40.42
15DEC1896,39.5
16DEC1896,39.96
17DEC1896,40.8
18DEC1896,38.59
21DEC1896,39.8
22DEC1896,39.53
23DEC1896,39.76
24DEC1896,40.02
28DEC1896,40.14
29DEC1896,40.52
30DEC1896,40.62
31DEC1896,40.45
04JAN1897,40.37
05JAN1897,40.87
06JAN1897,40.95
07JAN1897,40.87
08JAN1897,40.97
11JAN1897,40.75
12JAN1897,41.4
13JAN1897,41.45
14JAN1897,41.79
15JAN1897,42.27
18JAN1897,42.76
19JAN1897,43.25
20JAN1897,42.78
21JAN1897,42.52
22JAN1897,42.42
25JAN1897,41.91
26JAN1897,42.22
27JAN1897,42.21
28JAN1897,41.88
29JAN1897,42.06
01FEB1897,42.38
02FEB1897,42.02
03FEB1897,41.93
04FEB1897,41.3
05FEB1897,41.23
08FEB1897,41.11
09FEB1897,40.57
10FEB1897,40.57
11FEB1897,40.27
15FEB1897,39.74
16FEB1897,40.3
17FEB1897,40.3
18FEB1897,40.32
19FEB1897,40.28
23FEB1897,40.69
24FEB1897,40.76
25FEB1897,40.21
26FEB1897,41.29
01MAR1897,41.69
02MAR1897,41.88
03MAR1897,42.13
04MAR1897,41.34
05MAR1897,41.45
08MAR1897,41.9
09MAR1897,41.62
10MAR1897,41.79
11MAR1897,41.94
12MAR1897,42.05
15MAR1897,42.08
16MAR1897,41.93
17MAR1897,41.5
18MAR1897,41.6
19MAR1897,41.12
22MAR1897,41.39
23MAR1897,40.86
24MAR1897,40.6
25MAR1897,40.58
26MAR1897,40.07
29MAR1897,39.13
30MAR1897,39.86
31MAR1897,39.47
01APR1897,39.77
02APR1897,39.81
05APR1897,39.74
06APR1897,39.57
07APR1897,39.73
08APR1897,40.37
09APR1897,40.21
12APR1897,39.95
13APR1897,40.43
14APR1897,39.76
15APR1897,39.41
19APR1897,38.49
20APR1897,38.69
21APR1897,38.91
22APR1897,38.57
23APR1897,38.49
26APR1897,39.22
28APR1897,39.02
29APR1897,39.01
30APR1897,38.96
03MAY1897,38.78
04MAY1897,39.48
05MAY1897,39.18
06MAY1897,39.54
07MAY1897,39.59
10MAY1897,39.95
11MAY1897,39.9
12MAY1897,39.69
13MAY1897,39.27
14MAY1897,38.94
17MAY1897,38.67
18MAY1897,39.2
19MAY1897,38.8
20MAY1897,38.67
21MAY1897,38.83
24MAY1897,39.33
25MAY1897,39.2
26MAY1897,39.55
27MAY1897,39.21
28MAY1897,39.64
01JUN1897,40.01
02JUN1897,40.22
03JUN1897,40.28
04JUN1897,40.52
07JUN1897,41.32
08JUN1897,41.74
09JUN1897,42.21
10JUN1897,42.38
11JUN1897,42.54
14JUN1897,42.96
15JUN1897,42.8
16JUN1897,42.39
17JUN1897,42.69
18JUN1897,43.07
21JUN1897,42.62
22JUN1897,42.8
23JUN1897,43.18
24JUN1897,43.39
25JUN1897,43.28
28JUN1897,44.61
29JUN1897,44.27
30JUN1897,44.1
01JUL1897,44.21
02JUL1897,44.18
06JUL1897,43.6
07JUL1897,44.07
08JUL1897,43.92
09JUL1897,44.16
12JUL1897,45.05
13JUL1897,45.61
14JUL1897,45.71
15JUL1897,45.27
16JUL1897,45.48
19JUL1897,46.45
20JUL1897,46.76
21JUL1897,46.95
22JUL1897,47.73
23JUL1897,47.88
26JUL1897,47.71
27JUL1897,47.11
28JUL1897,47.86
29JUL1897,47.7
30JUL1897,47.95
02AUG1897,48.84
03AUG1897,50.1
04AUG1897,50.74
05AUG1897,51.25
06AUG1897,51.72
09AUG1897,51.32
10AUG1897,51.73
11AUG1897,51.8
12AUG1897,51.97
13AUG1897,51.5
16AUG1897,52.19
17AUG1897,51.55
18AUG1897,51.79
19AUG1897,51.8
20AUG1897,51.65
23AUG1897,52.39
24AUG1897,52.53
25AUG1897,52.13
26AUG1897,52.56
27AUG1897,52.92
30AUG1897,53.23
31AUG1897,54.81
01SEP1897,55.44
02SEP1897,55.77
03SEP1897,55.64
07SEP1897,55.75
08SEP1897,55.6
09SEP1897,55.81
10SEP1897,55.82
13SEP1897,54.61
14SEP1897,55.35
15SEP1897,55.62
16SEP1897,55.27
17SEP1897,55.46
20SEP1897,54.66
21SEP1897,52.53
22SEP1897,53.45
23SEP1897,53.6
24SEP1897,52.48
27SEP1897,52.93
28SEP1897,52.31
29SEP1897,51.9
30SEP1897,50.98
01OCT1897,51.54
04OCT1897,52.66
05OCT1897,52.26
06OCT1897,51.79
07OCT1897,51.37
08OCT1897,51.64
11OCT1897,50.64
12OCT1897,48.64
13OCT1897,49.35
14OCT1897,48.79
15OCT1897,48.42
18OCT1897,49.2
19OCT1897,49.84
20OCT1897,50.39
21OCT1897,49.82
22OCT1897,50
25OCT1897,48.76
26OCT1897,49.1
27OCT1897,48.6
28OCT1897,48.46
29OCT1897,48.81
01NOV1897,49.11
03NOV1897,47.67
04NOV1897,47.31
05NOV1897,45.73
08NOV1897,45.65
09NOV1897,46.53
10NOV1897,47.12
11NOV1897,46.19
12NOV1897,46.44
15NOV1897,46.47
16NOV1897,47.05
17NOV1897,46.83
18NOV1897,46.99
19NOV1897,47.27
22NOV1897,46.89
23NOV1897,46.63
24NOV1897,46.21
26NOV1897,46.7
29NOV1897,46.8
30NOV1897,47.46
01DEC1897,48.41
02DEC1897,48.31
03DEC1897,48.31
06DEC1897,48.79
07DEC1897,49.46
08DEC1897,49.39
09DEC1897,49.6
10DEC1897,49.18
13DEC1897,49.81
14DEC1897,49.67
15DEC1897,49.02
16DEC1897,48.54
17DEC1897,48.14
20DEC1897,48.45
21DEC1897,48.25
22DEC1897,48.54
23DEC1897,48.84
24DEC1897,49.39
27DEC1897,49.29
28DEC1897,49.34
29DEC1897,49.33
30DEC1897,49.21
31DEC1897,49.41
03JAN1898,49.31
04JAN1898,48.91
05JAN1898,49.53
06JAN1898,50.18
07JAN1898,50.67
10JAN1898,50.53
11JAN1898,50.33
12JAN1898,50.19
13JAN1898,49.85
14JAN1898,49.63
17JAN1898,49.36
18JAN1898,48.81
19JAN1898,49.28
20JAN1898,49.06
21JAN1898,48.92
24JAN1898,48
25JAN1898,48.66
26JAN1898,49.53
27JAN1898,49.78
28JAN1898,49.32
31JAN1898,50.01
01FEB1898,49.76
02FEB1898,49.54
03FEB1898,49.54
04FEB1898,49.82
07FEB1898,50.11
08FEB1898,49.62
09FEB1898,49.86
10FEB1898,50.16
11FEB1898,50.14
14FEB1898,49.49
15FEB1898,50.04
16FEB1898,48.97
17FEB1898,49.2
18FEB1898,48.59
21FEB1898,47.11
23FEB1898,46.16
24FEB1898,44.67
25FEB1898,45.31
28FEB1898,46.17
01MAR1898,47.47
02MAR1898,46.58
03MAR1898,46.55
04MAR1898,46.16
07MAR1898,44.86
08MAR1898,45.3
09MAR1898,45.51
10MAR1898,45.38
11MAR1898,44.44
14MAR1898,44.73
15MAR1898,44.41
16MAR1898,45.53
17MAR1898,44.55
18MAR1898,44.86
21MAR1898,44.5
22MAR1898,43.45
23MAR1898,43.22
24MAR1898,42.73
25MAR1898,42
28MAR1898,45.34
29MAR1898,44.49
30MAR1898,46.15
31MAR1898,45.42
01APR1898,44.14
04APR1898,45.58
05APR1898,45.06
06APR1898,46.02
07APR1898,45.98
08APR1898,45.48
11APR1898,45.95
12APR1898,46.32
13APR1898,45.19
14APR1898,46.06
15APR1898,45.37
18APR1898,44.92
19APR1898,44.48
20APR1898,44.56
21APR1898,43.27
22APR1898,43.87
25APR1898,44.02
26APR1898,44.36
27APR1898,44.4
28APR1898,45.01
29APR1898,45.75
02MAY1898,48.6
03MAY1898,48.3
05MAY1898,49.43
06MAY1898,49.16
09MAY1898,51.05
10MAY1898,50.46
11MAY1898,51.63
12MAY1898,51.09
13MAY1898,50.82
16MAY1898,50.33
17MAY1898,51.26
18MAY1898,50.55
19MAY1898,51.04
20MAY1898,50.74
23MAY1898,51.73
24MAY1898,52.29
25MAY1898,51.87
26MAY1898,51.9
27MAY1898,52.08
31MAY1898,52.74
01JUN1898,52.87
02JUN1898,53.36
